PHONE,IMEI1,IMEI2,TYPE,START,END,TOWER,LATITUDE,LONGITUDE,OPERATORS
7852932699,912055885928193,785300716965046,SMSOUT,2013-04-02 10:47:58,2013-04-02 10:47:58,47934973,21.131882,72.304249,Idea
9998307534,840278339702931,999836976993962,SMSOUT,2013-06-05 06:35:39,2013-06-05 06:35:39,37917360,18.983146,71.589199,Airtel
9858208911,840278339702931,985829739525519,SMSIN,2013-06-24 22:51:36,2013-06-24 22:51:36,56411003,18.028625,72.616098,Airtel
8270287210,912055885928193,827035888747917,SMSOUT,2013-06-28 03:12:29,2013-06-28 03:12:29,34315775,17.787943,72.023603,Airtel
8960595950,267326641322453,896065792805663,SMSIN,2013-07-01 23:28:19,2013-07-01 23:28:19,91761850,19.111172,72.540946,Airtel
7747227098,840278339702931,774730156865046,CALLIN,2013-09-02 14:00:17,2013-09-02 15:00:04,64515557,17.95455,70.571732,Jio
7680106953,840278339702931,768019016836129,SMSOUT,2013-10-30 03:00:46,2013-10-30 03:00:46,80954256,19.828559,71.15267,BSNL
6972858123,267326641322453,697295381827345,SMSOUT,2013-11-01 02:36:31,2013-11-01 02:36:31,82901072,21.536428,70.65242,BSNL
7747227098,912055885928193,774732470643399,CALLOUT,2013-11-04 20:02:31,2013-11-04 20:41:51,17578548,20.301856,70.334067,Idea
9858208911,840278339702931,985829967781363,CALLIN,2013-11-06 13:16:31,2013-11-06 14:35:56,75197314,18.810136,70.541489,Idea
8300075454,267326641322453,830014734221546,CALLIN,2013-12-11 05:26:09,2013-12-11 05:44:59,37953485,76.696019,25.869944,Vodafone
7665955835,912055885928193,766605153027345,SMSOUT,2014-04-19 23:58:54,2014-04-19 23:58:54,93349112,75.048365,26.521204,Jio
6953931879,840278339702931,695400355647818,SMSOUT,2014-04-23 03:00:30,2014-04-23 03:00:30,55396231,77.214239,25.131077,Vodafone
9998307534,840278339702931,999837921147818,CALLIN,2014-05-17 04:28:42,2014-05-17 05:57:36,62685596,78.961746,30.060519,Idea
7747227098,840278339702931,774731031336030,CALLIN,2014-06-07 01:16:12,2014-06-07 01:32:41,16009339,79.180269,32.769435,Airtel
6108116792,267326641322453,610818513594970,CALLOUT,2014-07-27 10:06:52,2014-07-27 10:44:48,63795826,77.638405,30.130432,BSNL
7154759931,267326641322453,715482190905564,CALLOUT,2014-08-26 21:42:17,2014-08-26 22:39:57,52103227,77.266787,26.964455,Airtel
6398773675,840278339702931,639886937027345,SMSOUT,2014-10-30 13:43:56,2014-10-30 13:43:56,64892288,78.819374,31.495181,Idea
7747227098,267326641322453,774730757004348,CALLIN,2014-11-24 03:24:06,2014-11-24 04:50:32,32438441,75.201821,30.126614,Jio
6108116792,267326641322453,610819126264947,CALLIN,2014-11-29 11:02:47,2014-11-29 11:06:08,55316912,74.144227,31.174104,BSNL
6889035035,267326641322453,688912974967023,CALLIN,2014-12-12 13:21:33,2014-12-12 14:08:44,66607274,75.985299,26.990102,Jio
6398773675,912055885928193,639884159558465,SMSIN,2015-01-07 21:04:38,2015-01-07 21:04:38,55325843,79.720106,30.011814,Jio
9227440772,267326641322453,922753646727345,CALLOUT,2015-01-12 20:01:24,2015-01-12 21:27:32,78494832,78.256276,33.077373,BSNL
8960595950,840278339702931,896066387058465,SMSOUT,2015-03-16 22:16:37,2015-03-16 22:16:37,55991857,76.533493,27.972739,Jio
8270287210,267326641322453,827035513058465,SMSIN,2015-05-15 23:04:38,2015-05-15 23:04:38,74461102,79.282464,32.886329,BSNL
6108116792,267326641322453,610819830875677,CALLOUT,2015-05-26 05:52:15,2015-05-26 07:02:39,71946965,76.990273,35.7931,Idea
7553342467,267326641322453,755342568236030,CALLIN,2015-06-01 17:47:45,2015-06-01 17:49:55,15638107,76.405302,29.279631,Airtel
6889035035,912055885928193,688911056061917,SMSIN,2015-06-17 10:31:19,2015-06-17 10:31:19,77376345,73.171766,31.865297,Airtel
7553342467,912055885928193,755343323381363,CALLOUT,2015-07-14 23:55:01,2015-07-15 00:56:40,36609972,79.45119,31.256127,Idea
9227440772,840278339702931,922753548667023,SMSOUT,2015-09-04 22:27:45,2015-09-04 22:27:45,41862076,74.085424,29.410735,Airtel
7852932699,840278339702931,785302118325420,CALLIN,2015-09-27 20:25:35,2015-09-27 21:29:26,22725884,33.624732,78.190742,Jio
7985886816,840278339702931,798598010381741,CALLIN,2015-10-15 12:17:38,2015-10-15 12:42:43,30750142,32.277355,78.745759,Jio
8300075454,840278339702931,830016516479030,CALLOUT,2015-11-01 13:07:10,2015-11-01 13:40:47,92388102,33.919171,72.874046,Airtel
8960595950,912055885928193,896069164527345,CALLIN,2015-11-08 01:07:05,2015-11-08 01:34:02,63679404,31.96151,74.107025,BSNL
8791405617,912055885928193,879149890481741,SMSIN,2015-12-14 21:04:44,2015-12-14 21:04:44,23727195,32.818306,70.89976,Idea
9398125012,840278339702931,939821349625420,SMSOUT,2016-01-15 12:46:59,2016-01-15 12:46:59,74311815,34.520928,76.895485,Idea
9998307534,912055885928193,999840224867023,CALLOUT,2016-01-19 23:05:36,2016-01-19 23:27:46,84923564,29.744395,75.948078,Jio
6972858123,267326641322453,697294888981363,SMSOUT,2016-05-06 22:01:01,2016-05-06 22:01:01,94332076,33.86493,77.605967,Airtel
9998307534,267326641322453,999840322927345,CALLIN,2016-05-07 03:42:15,2016-05-07 04:54:30,95126583,32.446282,76.44152,Airtel
6864239309,840278339702931,686432798166256,SMSIN,2016-05-07 12:43:18,2016-05-07 12:43:18,76047352,33.550456,72.583698,Idea
6864239309,267326641322453,686432779325420,SMSOUT,2016-05-15 02:46:20,2016-05-15 02:46:20,19117472,32.305468,74.004524,BSNL
6108116792,912055885928193,610818471258465,CALLIN,2016-05-15 22:24:18,2016-05-15 23:26:59,22088906,32.940155,72.467894,Jio
8300075454,267326641322453,830016516479030,CALLIN,2016-05-29 15:03:49,2016-05-29 16:23:51,30172913,31.790455,75.890572,Jio
7553342467,840278339702931,755342293904348,SMSOUT,2016-05-31 23:38:18,2016-05-31 23:38:18,81740114,33.545769,74.310041,BSNL
8270287210,912055885928193,827036168064947,SMSOUT,2016-06-14 12:02:46,2016-06-14 12:02:46,91068197,31.62576,75.882562,Airtel
8960595950,840278339702931,896066387058465,CALLOUT,2016-07-28 21:39:59,2016-07-28 22:01:55,42396988,31.646109,75.395534,Jio
8791405617,267326641322453,879149532779030,SMSOUT,2016-09-04 14:46:23,2016-09-04 14:46:23,85210938,33.308544,73.868263,Jio
9032395243,912055885928193,903246791741157,SMSOUT,2016-09-19 16:18:14,2016-09-19 16:18:14,69033927,31.819554,72.674058,Idea
9481868768,840278339702931,948195953481363,CALLOUT,2016-09-24 06:15:29,2016-09-24 06:27:43,43929304,31.176282,76.088492,Jio
6864239309,912055885928193,686433500427345,CALLOUT,2016-11-27 04:02:04,2016-11-27 05:02:08,93844339,31.949995,74.839222,Airtel
6108116792,912055885928193,610820546466256,SMSIN,2016-12-04 14:06:28,2016-12-04 14:06:28,11653289,34.816805,74.847084,Jio
6398773675,267326641322453,639883591093863,SMSIN,2017-01-02 07:49:11,2017-01-02 07:49:11,24492548,32.101508,74.308358,BSNL
6108116792,912055885928193,610820427613685,SMSIN,2017-02-14 23:07:28,2017-02-14 23:07:28,79963899,33.014814,76.930173,Vodafone
8960595950,267326641322453,896069164527345,SMSIN,2017-04-17 18:55:18,2017-04-17 18:55:18,40048360,34.416927,77.114701,Airtel
7985886816,840278339702931,798598442443399,SMSOUT,2017-05-05 22:32:36,2017-05-05 22:32:36,39956506,32.346002,75.445469,BSNL
7852932699,912055885928193,785301591436030,CALLOUT,2017-05-26 14:36:23,2017-05-26 14:45:13,37116628,32.569535,73.890712,Idea
9227440772,840278339702931,922750869258465,CALLIN,2017-06-18 12:37:45,2017-06-18 13:30:41,89021623,32.767359,74.757955,Idea
8791405617,840278339702931,879146785293863,SMSIN,2017-07-06 07:32:57,2017-07-06 07:32:57,83639267,33.600773,76.155341,Airtel
8960595950,267326641322453,896069355843399,SMSIN,2017-08-23 20:26:10,2017-08-23 20:26:10,28371797,32.168133,76.47629,BSNL
7985886816,840278339702931,798598153067023,SMSIN,2017-10-01 12:24:09,2017-10-01 12:24:09,24060726,30.903826,75.825898,Idea
7852932699,840278339702931,785301591436030,SMSIN,2017-11-02 19:09:06,2017-11-02 19:09:06,71363109,32.437718,40.86438,Airtel
7985886816,840278339702931,798594905193863,SMSIN,2017-11-04 11:31:04,2017-11-04 11:31:04,20000170,32.910265,44.110517,BSNL
6972858123,840278339702931,697293364861917,SMSOUT,2018-01-17 18:29:59,2018-01-17 18:29:59,42511330,31.58628,41.537048,Airtel
7852932699,912055885928193,785302137166256,SMSOUT,2018-02-18 09:42:23,2018-02-18 09:42:23,32169576,32.179556,43.100697,BSNL
6398773675,267326641322453,639886444181363,CALLOUT,2018-03-02 22:40:12,2018-03-02 23:58:40,59113670,31.401732,41.30922,BSNL
6398773675,912055885928193,639887158464029,SMSIN,2018-04-21 17:45:07,2018-04-21 17:45:07,53189968,35.457374,44.057584,Vodafone
6889035035,267326641322453,688910671247818,CALLOUT,2018-05-21 13:17:51,2018-05-21 14:32:33,82614658,35.122516,43.064221,Vodafone
7680106953,912055885928193,768020561228899,CALLOUT,2018-08-03 21:26:07,2018-08-03 22:12:46,83378458,30.124213,41.361344,Airtel
7553342467,840278339702931,755343217779030,SMSOUT,2018-09-19 10:40:44,2018-09-19 10:40:44,14703886,34.04534,41.843041,BSNL
6972858123,912055885928193,697294133836030,CALLOUT,2018-10-16 09:58:54,2018-10-16 11:02:49,24862711,31.834354,41.111279,Airtel
6108116792,267326641322453,610818846947818,CALLOUT,2018-10-26 08:52:27,2018-10-26 10:09:04,29544269,28.362237,43.143691,Jio
7747227098,840278339702931,774732500764029,SMSOUT,2018-11-15 20:57:47,2018-11-15 20:57:47,18948811,35.377216,39.527904,Jio
9032395243,267326641322453,903246136824029,CALLOUT,2018-11-20 22:29:36,2018-11-20 23:34:14,66805275,32.022837,40.807059,BSNL
8270287210,912055885928193,827037569425420,CALLOUT,2018-12-08 13:22:08,2018-12-08 13:49:02,76974858,31.581768,42.55037,Vodafone
9032395243,912055885928193,903247571504348,CALLOUT,2018-12-25 01:46:52,2018-12-25 02:24:14,62553357,33.765489,39.236136,BSNL
7665955835,840278339702931,766603905036030,SMSOUT,2019-03-02 09:36:00,2019-03-02 09:36:00,63433166,33.901123,43.544006,Jio
8270287210,840278339702931,827036168064947,SMSOUT,2019-03-07 17:23:16,2019-03-07 17:23:16,60324821,32.458574,39.481943,Jio
9481868768,840278339702931,948194429361917,CALLOUT,2019-03-08 00:12:40,2019-03-08 01:32:14,27285362,31.44313,40.921717,Vodafone
9398125012,267326641322453,939821368466256,SMSIN,2019-03-24 02:55:34,2019-03-24 02:55:34,71571961,31.764363,39.909344,Idea
7985886816,840278339702931,798595473658465,SMSOUT,2019-05-11 02:53:43,2019-05-11 02:53:43,53860877,34.644234,42.315689,Jio
7747227098,840278339702931,774732279327345,SMSIN,2019-06-01 18:41:16,2019-06-01 18:41:16,31941353,32.776062,40.926387,Jio
6135804031,267326641322453,613589874567023,CALLOUT,2019-06-08 02:23:25,2019-06-08 03:39:30,98072839,32.614136,47.36014,BSNL
8960595950,267326641322453,896067042064947,SMSIN,2019-08-15 05:53:21,2019-08-15 05:53:21,34136595,33.296913,43.141586,Idea
7553342467,840278339702931,755344007543399,SMSOUT,2019-08-20 05:06:23,2019-08-20 05:06:23,59124115,33.925711,42.118848,Airtel
9398125012,912055885928193,939819113724029,SMSOUT,2019-11-08 12:30:41,2019-11-08 12:30:41,29995228,39.084881,45.208069,Idea
7553342467,912055885928193,755343575481741,CALLIN,2019-11-27 02:39:57,2019-11-27 02:52:12,68006475,27.669006,42.477108,Jio
8960595950,912055885928193,896067916536030,SMSIN,2019-12-09 02:20:23,2019-12-09 02:20:23,60596443,34.396574,41.09399,Airtel
9858208911,840278339702931,985827114693863,SMSIN,2020-01-01 21:55:18,2020-01-01 21:55:18,24070780,34.270459,42.813019,Idea
7553342467,267326641322453,755343816227345,SMSOUT,2020-04-17 02:21:08,2020-04-17 02:21:08,53006261,33.284812,44.472157,BSNL
6108116792,267326641322453,610821150667023,CALLOUT,2020-04-28 17:13:28,2020-04-28 18:12:06,82091489,30.9667,44.686551,Airtel
9398125012,840278339702931,939820652875677,CALLOUT,2020-04-28 17:29:25,2020-04-28 18:32:00,34248299,31.144767,48.380578,Idea
6953931879,267326641322453,695400740461917,CALLOUT,2020-05-26 05:41:47,2020-05-26 06:14:11,92015983,29.991006,40.465635,Idea
6108116792,267326641322453,610820427613685,CALLOUT,2020-07-25 22:10:24,2020-07-25 22:38:35,36093757,28.929462,41.399023,Idea
8270287210,267326641322453,827038481843399,SMSOUT,2020-08-28 23:44:35,2020-08-28 23:44:35,55129286,35.671644,44.907564,Idea
9398125012,912055885928193,939822070727345,CALLIN,2020-11-04 09:11:48,2020-11-04 10:30:36,73077629,32.888461,43.52147,BSNL
7680106953,840278339702931,768019771981363,CALLOUT,2021-03-04 06:55:58,2021-03-04 08:23:09,11421130,27.831468,44.173789,Idea
7985886816,912055885928193,798598251127345,SMSIN,2021-05-24 19:10:03,2021-05-24 19:10:03,41971040,30.87249,40.145672,Airtel
7747227098,267326641322453,774731558225420,CALLOUT,2021-06-24 23:13:08,2021-06-24 23:14:08,63969579,31.530975,45.547306,Jio
7680106953,840278339702931,768019016836030,SMSIN,2021-07-18 19:14:06,2021-07-18 19:14:06,89735566,32.237188,38.624538,Idea
9227440772,267326641322453,922753838043399,SMSIN,2021-08-01 14:56:26,2021-08-01 14:56:26,86863398,32.372687,44.32706,Airtel
