PHONE,IMEI1,IMEI2,TYPE,START,END,TOWER,LATITUDE,LONGITUDE,OPERATORS,DURATION
8620088362,321807395986361,862016283265046,SMSIN,2007-02-25 06:08:57,2007-02-25 06:08:57,97498330,-22.9555,130.975584,Vodafone,0
6866247197,246495093731280,686630943293962,CALLIN,2007-05-05 09:09:42,2007-05-05 10:00:09,33191847,-34.126077,130.929028,Airtel,3027
8413529662,246495093731280,841361814625519,CALLOUT,2007-07-16 19:40:33,2007-07-16 20:48:34,13983157,-27.214447,136.368209,Vodafone,4081
7554544563,963617088738152,755461624047917,CALLIN,2007-07-18 14:38:06,2007-07-18 15:09:13,41040135,-27.077548,127.074613,Airtel,1867
8663661549,963617088738152,866372352705663,CALLOUT,2007-09-27 10:04:25,2007-09-27 10:22:43,45411244,-24.248271,129.293863,Airtel,1098
8229075384,246495093731280,822914985465046,CALLIN,2007-10-16 17:36:13,2007-10-16 18:16:05,59204394,-31.621973,126.568932,BSNL,2392
7590533005,321807395986361,759061622036129,SMSOUT,2007-10-26 18:25:11,2007-10-26 18:25:11,32984094,-33.381467,129.569835,Idea,0
6801142180,246495093731280,680123787527345,CALLIN,2008-03-02 18:33:24,2008-03-02 18:38:13,14693633,-21.444583,124.618218,Vodafone,289
9483122421,246495093731280,948322002943399,SMSIN,2008-04-22 12:15:22,2008-04-22 12:15:22,23047214,-29.991115,127.970949,Airtel,0
9690557818,246495093731280,969064858481363,CALLIN,2008-04-28 10:49:07,2008-04-28 12:11:33,40011004,-30.563174,119.589414,Vodafone,4946
9151775771,246495093731280,915184765921546,CALLIN,2009-03-04 19:40:08,2009-03-04 21:09:57,71374402,-20.986466,126.651996,Airtel,5389
7554544563,246495093731280,755464025827345,CALLOUT,2009-03-22 05:42:08,2009-03-22 06:34:15,95228892,-21.385969,132.304535,Idea,3127
7005442921,246495093731280,700551459847818,SMSIN,2009-07-16 08:37:31,2009-07-16 08:37:31,44055312,-25.372055,133.164015,BSNL,0
